email,fixme,operator,operator:type,addr:place,operator:short,emergency,@geometry,payment:cash,@id,addr:city,building,website,internet_access,contact:facebook,building:levels,addr:state,addr:postcode,landuse,addr:housenumber,addr:full,name:ur,mobile,description,wheelchair,healthcare:speciality,type,barrier,check_date,name,name:hi,name:en,payment:debit_cards,source,name:ar,payment:credit_cards,healthcare,addr:district,amenity,operator:wikidata,branch,contact:phone,phone,addr:street,latitude,longitude
,,,,,,,,,node/7008475347,,,,,,,Haryana,122001,,,"C-1, Opp Meenakshi Public School, Sector-1 A",,,,,,,,,"Yadav Hospital, Gurgoan",,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.4432185,77.0031618
,,,,,,,,,node/7008691154,,,,,,,Haryana,122001,,,"118, Model Town, Khandsa Road",,,,,otolaryngology;maternity,,,,Nangia Hospital Ent and Maternity,,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.4558195,77.0218735
,,,,,,,,,node/7008960818,,,,,,,Haryana,122001,,,"Khandsa Road, Near State Bank Of India",,,,,,,,,Vinayak Hospital,,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.4543386,77.0214859
,,,,,,,,,node/7009221079,,,,,,,Haryana,122003,,,Plot. No. Nh-4 Sector - 55,,,,,,,,,Arunodaya Deseret Eye Hospital,,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.4277743,77.1087643
,,,,,,,,,node/7009224944,,,,,,,Haryana,122506,,,"Sultanpur Road, Farukhnagar",,,,,,,,,Kalawati Hospital and Maternity Center,,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.4467591,76.8304228
,,,,,,,,,node/7009225899,,,,,,,Haryana,122506,,,"Near Anaj Mandi, Wazir Pur Road Farrukh Nagar",,,,,,,,,Lord Krishna Hospital,,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.4785067,77.0854291
info@arihanthospital.net,,,private,,,,,,node/7009675990,,,www.arihanthospital.net,,,,Haryana,122001,,,"G-121, Oriental Villa, Sushant Lok III, Sector 57, Gurgaon",,,,,Obstetricsand Gynaecology; Pediatrics; Chest and Respiratory Medicine; Orthopedic; General Surgery; Internal Medicine; ENT; EYE; Neuro Sciences; Dental,,,,Arihant Hospital,,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.4486051,77.0824411
,,,,,,,,,node/7009892483,,,,,,,Haryana,122001,,,"Sec 15Ii, Near Rail Vihar",,,,,,,,,Ahmed Hospital Multi Speciality,,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.4580332,77.0412478
info@aarvyhospital.com,,,private,,,,,,node/7010125928,,,http://aarvyhospital.com/,,,,Haryana,122001,,,"530/18, Opp. Nehru Stadium, Civil Lines",,,,,General Medicine; Pediatrics; Ophthalmology; Dental; Obstetrics and Gynaecology Orthopedics;,,,,Aarvy Hospital,,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.457393,77.0300911
,,,,,,,,,node/7010125933,,,,,,,Haryana,122001,,,"Opposite Agarwal Sweet Home, Sikanderpur, Dlf Phase - Ii, M.G. Main Road",,,,,,,,,Shri Ram Memorial Hospital,,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.4936346,77.099508
,,,,,,,,,node/7010378677,,,,,,,Haryana,122001,,,"H-25/11, Qutab Enclave, Dlf City Phase I",,,,,,,,,Sikka Maternity And Surgical Center,,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.4784222,77.0991004
,,,,,,,,,node/7010398003,,,,,,,Haryana,122001,,,"Sector, 33, At Extit, 11, Nh-8 Near Hero Honda Chowk",,,,,,,,,Vaishnavi Nursing Home,,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.4385723,77.0131141
,,,,,,,,,node/7010444201,,,,,,,Haryana,122001,,,"877/2, Mata Road, Opposite Homeguard, Office, Near Roadwoffice, Near Ays Workshop",,,,,,,,,"Mamta Hospital, Gurgaon",,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.469724,77.0338102
,,,,,,,,,node/7010444206,,,,,,,Haryana,122001,,,"Subhash Nagar , Dhobi Ghat Old Railway Road",,,,,,,,,M.S Hospital,,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.4640593,77.0218559
,,,private,,,,,,node/7010591317,,,http://www.bhardwajhospital.net/,,,,Haryana,122001,,,"Plot No - E / 1, Near Sunday MarketMain Bajgerah Road, Rajendra Park, Gurgaon",,,,,Ent;; General Surgery Gynaecology; Obesity; Oral Surgery; Pain Management; Pediatric Surgery; Plastic Surgery and Cosmetic Surgery; Reconstructive Surgery,,,,Bhardwaj Hospital,,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.4901894,77.0068324
,,,,,,,,,node/7010591318,,,,,,,Haryana,122001,,,"Auto Stand Kasan, Near Sector-08, Imt Manesar",,,,,,,,,Rathore Imt Hospital,,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.3743344,76.9053349
,,,,,,,,,node/7010614716,,,,,,,Haryana,122001,,,Pataudi,,,,,,,,,Anirud Hospital,,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.3303118,76.7753684
,,,,,,,,,node/7010842699,,,,,,,Haryana,122001,,,"14/8,Model Town,Khandsa Road",,,,,,,,,Parashar Hospital,,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.4539324,77.0204298
,,,,,,,,,node/7168803716,,,,,,,Haryana,122022,,,Gurugram,,,,,,,,,Airforce Hospital,,,,OpenGovernmentData,,,,,hospital,,,,,,28.4353706,77.0234423
,,,,,,,,,node/7168803799,,,,,,,Haryana,122006,,,"Gurgaon Village, Sector 6, Gurgaon Rural",,,District Hospital,,,,,,GH Gurgaon,,,,OpenGovernmentData,,,,,hospital,,,,,,28.474246,77.027117
,,,,,,,,,node/7168803821,,,,,,,Haryana,122506,,,Farukh Nagar,,,Civil Hospital,,,,,,"Civil Hospital, Farrukh Nagar",,,,OpenGovernmentData,,,,,hospital,,,,,,28.4449338,76.8194023
,,,,,,,,,node/7168803872,,,,,,,Haryana,122103,,,"Baluda Road, Rajoria Nagar, Sohna",,,Civil Hospital,,,,,,Civil Hospital Sohna,,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.249546,77.068584
,,,,,,,,,node/7168803920,,,,,,,Haryana,122001,,,"Block C, Sector 9A, Gurugram",,,,,,,,,"Esic Hospital, Gurugram",,,,OpenGovernmentData,,,,,hospital,,,,,,28.4681022,77.0013592
,,,,,,,,,node/7622826267,,,,,,,Haryana,122002,,,"Plot No. 3204, Dlf Phase 3, Sector 24",,,,,,,,,St Stephen's Hospital Health Care Facility,,,,Local Knowledge,,,,Gurugram,hospital,,,,,,28.485499,77.104817
,,,,,,,,,node/7622826291,,,,,,,Haryana,122001,,,"West Rajiv Nagar, Sector 12",,,,,,,,,Children Hospital,,,,Local Knowledge,,,,Gurugram,hospital,,,,,,28.4750562,77.0348668
,,,,,,,,,node/7622826310,,,,,,,Haryana,122001,,,"Khandsa Village Road, Sco 101, Sector 10/A",,,,,,,,,Gautam Hospital,,,,Local Knowledge,,,hospital,Gurugram,hospital,,,,,,28.442666,77.008965
,,,,,,,,,node/7622826315,,,,,,,Haryana,122051,,,"Sector 8, Imt Manesar",,,,,,,,,Nidan Hospital and Trauma Centre,,,,Local Knowledge,,,,Gurugram,hospital,,,,,,28.3728929,76.8956487
,,,,,,,,,node/7622826344,,,,,,,Haryana,122001,,,"625, 20, Madanpuri Road, Vir Nagar, Arjun Nagar, Sector 8, Gurugram",,,,,,,,,Lal Superspeciality Hospital,,,,Local Knowledge,,,hospital,Gurugram,hospital,,,,,,28.4577794,77.016731
,,,,,,,,,node/7622826345,,,,,,,Haryana,122001,,,"601, 20, Madanpuri Road, Manohar Nagar, Sector 7",,,,,,,,,Shri Gobind Hospital,,,,Local Knowledge,,,hospital,Gurugram,hospital,,,,,,28.4580095,77.0164047
,,,,,,,,,node/7622826362,,,,,,,Haryana,122051,,,"NH 48, Power Supply Colony, Manesar",,,,yes,,,,,Prakash Hospital,,,,Local Knowledge,,,,Gurugram,hospital,,,,,,28.3561342,76.9377939
,,,,,,,,,node/7625035036,,,,,,,Haryana,122503,,,Gurgaon Road,,,,,,,,,Shree Kailash Hospital,,,,Local Knowledge,,,,Gurugram,hospital,,,,,,28.3298834,76.7806897
,,,,,,,,,node/7625035039,,,,,,,Haryana,122506,,,"Gurugram Road, Main Bus Stand, Farukh Nagar",,,,,,,,,Radha Kishan Hospital,,,,Local Knowledge,,,,Gurugram,hospital,,,,,,28.4471211,76.8288722
,,,,,,,,,node/7625035040,,,,,,,Haryana,122506,,,"Ward 11, Patodi Road, Near Patli Gate, Farukh Nagar",,,,,,,,,Shri Bala G Hospital and Trauma Centre,,,,Local Knowledge,,,,Gurugram,hospital,,,,,,28.447096,76.825264
,,,,,,,,,node/7625035054,,,,,,,Haryana,122506,,,"Near Anaj Mandi, Farukh Nagar - Wazirpur Road, Farukh Nagar",,,,,,,,,Lord Krishna Hospital,,,,Local Knowledge,,,,Gurugram,hospital,,,,,,28.446282,76.8310601
,,,,,,,,,node/7625035068,,,,,,,Haryana,122506,,,Gurugram,,,,,,,,,Sai Ram Hospital,,,,Local Knowledge,,,,Gurugram,hospital,,,,,,28.4494522,76.8365867
,,,,,,,,,node/7625035082,,,,,,,Haryana,122503,,,"Ashram Hari Mandir, Pataudi",,,,,,,,,Swami Amardev Hospital,,,,Local Knowledge,,,,Gurugram,hospital,,,,,,28.3200718,76.7889252
,,,,,,,,,node/7625035086,,,,,,,Haryana,122503,,,"Nauhtta Chowk, Pataudi",,,,,,,,,Joshi Hospital,,,,Local Knowledge,,,,Gurugram,hospital,,,,,,28.3270089,76.7777801
,,,,,,,,,node/7625035102,,,,,,,Haryana,122503,,,"Gurgaon Road, Rampur, Mod, Pataud",,,,,,,,,Geetanjali Hospital,,,,Local Knowledge,,,,Gurugram,hospital,,,,,,28.3300379,76.7819844
,,,,,,,,,node/7625035104,,,,,,,Haryana,122503,,,"Mdr132, Pataudi",,,,,,,,,Rajeev Hospital,,,,Local Knowledge,,,,Gurugram,hospital,,,,,,28.3256652,76.7821101
,,,,,,,,,node/7625035105,,,,,,,Haryana,122506,,,"Farukh Nagar - Wazirpur Road, Farukh Nagar",,,,,,,,,Eye Q Hospital,,,,Local Knowledge,,,,Gurugram,hospital,,,,,,28.445697,76.832133
,,,,,,,,,node/7625035106,,,,,,,Haryana,122506,,,"Near Anaj Mandi, Farukh Nagar - Wazirpur Road",,,,,,,,,Kailash Hospital,,,,Local Knowledge,,,,Gurugram,hospital,,,,,,28.4461763,76.8314828
,,,,,,,,,node/7625035122,,,,,,,Haryana,122503,,,"Mdr132, Pataudi",,,,,,,,,Chauhan Hospital,,,,Local Knowledge,,,,Gurugram,hospital,,,,,,28.325108,76.783359
,,,,,,,,,node/7625035125,,,,,,,Haryana,122503,,,Pataudi,,,,,,,,,Tilak Hospital,,,,Local Knowledge,,,,Gurugram,hospital,,,,,,28.3290041,76.779888
,,,,,,no,,,node/8285824220,Gurugram,,,,,,,122017,,House No 3425,,,,,,dentist;pediatrics;dental_oral_maxillo_facial_surgery;dentistry;orthodontics;implantology,,,,DR KAPOOR'S Dental Care and Implant Centre,,,,,,,hospital,,hospital,,,,,"Sector 23, Near Gate No 3",28.5095465,77.0450085
,,Employees' State Insurance,,,ESI,,,,node/9985453891,,,,,,,,,,,,,,,,,,,,ESI hospital,,,,,,,hospital,,hospital,Q3595726,,,,Sector 9A,28.4682563,77.0013092
,,,,,,,,,node/11598703517,,,,,,,,,,,,,,,,,,,,Jain Hospital,,,,,,,hospital,,hospital,,,,,,28.4284279,77.058622
,,,,,,,,,node/11750077269,,,,,,,,122001,,,,,,,,,,,,,,Dr Lal Pathlabs,,,,,,,hospital,,,,,,28.4828162,77.0952619
,,,,,,,,,node/11769497940,,,,,,,,,,,,,,,,,,,,Verizon Hospital,,,,,,,,,hospital,,,,,,28.4399865,77.0705
ikonicaesthetics.in@gmail.com,,Ikonic Aesthetics,private,,,yes,,,node/12068110862,Gurgaon,,https://ikonicaesthetics.in,,https://www.facebook.com/cosmeticsurgeon.drhimaniyadav,,,122003,,Plot No 1287N,,,07827622178,"Dr. Himani Yadav is the best Cosmetic Surgeon In Gurgaon. We have a well-experienced team of doctors for Skin, Dental, and Hair Treatment. Our clinic is also equipped with all sets of the latest types of equipment. Our ultimate goal is to help you achieve",,dentist;dental_oral_maxillo_facial_surgery;skin_clinic;cosmetic_surgeon;laser_hair_removal;nose_fillers;botox_and_fillers;lip_filers,,,,Dr. Himani Yadav | Cosmetic Surgeon In Gurgaon | Botox & Fillers | HydraFacial | HIFU | Laser Hair Removal | Gurgaon,,,,,,,hospital,Haryana,hospital,,,,,"Block H, Sector 57",28.4299657,77.0777145
,,,,,,,,,node/12609739301,,,,,,,,,,,,,,,,,,,,,,Narayana multispeciaity hospital,,,,,,,hospital,,,,,,28.4981571,77.1017103
