Zone,Year,Population Density (per sq km),Housing Units,Avg Household Size,Green Area (%),Total Road Length (km),Highway Ratio,Arterial Ratio,Local Road Ratio,Current Congestion Level (%),Housing Growth Rate (%)
Zone E,2013,23850,43997,4.9,8.2,196.4,0.24,0.48,0.34,91.9,2.56
Zone G,2019,20112,35611,3.5,5.47,370.7,0.21,0.32,0.68,78.0,3.2
Zone D,2012,20652,51235,4.7,20.12,417.6,0.24,0.43,0.54,68.8,6.86
Zone F,2018,14122,45057,4.2,14.17,131.7,0.06,0.28,0.59,87.3,3.76
Zone M,2022,8481,11239,5.1,10.78,216.9,0.26,0.5,0.43,33.2,3.95
Zone O,2011,22536,75661,3.7,23.0,455.9,0.2,0.21,0.46,46.7,4.67
Zone C,2024,8153,55272,4.7,7.32,413.0,0.19,0.38,0.39,60.2,6.91
Zone H,2013,15617,71212,4.5,24.12,493.2,0.21,0.4,0.34,44.8,2.83
Zone P1,2024,9524,25398,4.8,11.28,389.4,0.27,0.41,0.37,78.4,5.25
Zone M,2015,10120,66503,3.6,22.77,226.9,0.2,0.24,0.62,89.7,5.44
Zone K1,2011,23048,16638,4.7,17.06,315.8,0.2,0.48,0.57,57.5,4.84
Zone P2,2024,10343,16570,4.6,21.53,347.5,0.3,0.25,0.52,52.2,1.99
Zone E,2017,13136,78785,4.6,24.68,85.3,0.24,0.39,0.49,92.5,5.22
Zone J,2017,9240,19110,4.7,10.77,295.0,0.16,0.27,0.67,58.9,1.85
Zone L,2010,8060,22115,4.9,24.22,369.2,0.23,0.29,0.33,61.8,4.78
Zone A,2021,17130,49062,5.1,12.79,125.3,0.15,0.36,0.41,52.9,5.57
Zone A,2012,26023,32911,4.0,12.71,401.3,0.11,0.33,0.44,89.1,2.66
Zone O,2019,20312,42556,5.2,11.81,312.7,0.2,0.25,0.61,67.0,6.13
Zone B,2018,21350,11969,4.5,15.83,478.5,0.28,0.25,0.7,79.5,1.67
Zone P1,2014,20418,53753,3.7,8.08,69.1,0.28,0.33,0.4,82.8,6.14
Zone H,2015,9252,14470,3.6,16.07,169.4,0.14,0.43,0.65,52.2,4.03
Zone M,2013,28587,20225,4.2,15.83,320.7,0.18,0.47,0.63,58.2,2.7
Zone A,2019,16363,33196,5.1,20.24,183.5,0.1,0.23,0.39,85.2,2.24
Zone P1,2025,17650,23669,4.9,21.67,371.5,0.3,0.32,0.46,53.6,6.74
Zone G,2011,27933,47380,5.1,13.81,391.6,0.3,0.23,0.46,81.6,1.9
Zone E,2020,28581,58320,4.5,11.05,96.1,0.21,0.2,0.69,91.2,2.6
Zone C,2017,26706,57414,4.4,10.19,281.2,0.25,0.4,0.37,70.5,3.41
Zone L,2020,24314,25577,3.8,8.89,279.0,0.23,0.38,0.62,78.2,4.91
Zone P1,2022,12090,65409,4.2,6.15,216.2,0.2,0.25,0.43,82.3,4.5
Zone E,2015,14960,38625,4.4,11.85,469.8,0.06,0.27,0.59,84.9,2.19
Zone N,2014,11004,34089,3.7,10.4,422.4,0.16,0.21,0.47,55.7,3.09
Zone E,2018,29520,46487,3.9,24.33,363.7,0.22,0.45,0.53,33.3,2.81
Zone O,2010,24713,75838,4.7,16.15,371.4,0.22,0.49,0.63,56.1,2.67
Zone P2,2014,11640,60138,5.0,11.95,257.8,0.14,0.24,0.62,73.8,3.76
Zone N,2015,28491,52823,5.5,16.61,464.4,0.29,0.27,0.65,59.3,5.37
Zone E,2014,9341,47208,5.4,7.78,362.6,0.09,0.46,0.32,78.7,2.7
Zone L,2015,19855,64061,4.8,13.88,378.0,0.18,0.48,0.58,53.2,3.52
Zone P1,2015,8338,40659,4.3,17.52,437.8,0.22,0.33,0.36,71.3,3.65
Zone P1,2016,13895,41890,4.8,14.78,173.3,0.22,0.22,0.47,42.1,6.87
Zone G,2025,20254,57055,5.1,13.04,413.2,0.21,0.21,0.52,78.7,6.75
Zone D,2013,27092,29508,3.7,24.88,137.9,0.12,0.37,0.46,65.5,5.9
Zone A,2023,19344,52287,4.3,22.61,205.4,0.09,0.32,0.51,43.3,2.83
Zone E,2020,9750,36984,5.2,17.47,201.0,0.21,0.21,0.7,49.0,1.87
Zone K1,2023,29988,18125,4.3,16.39,490.3,0.2,0.37,0.35,78.7,3.24
Zone E,2023,10421,46059,4.6,17.41,435.4,0.09,0.2,0.57,61.4,2.97
Zone D,2023,15119,79569,4.7,9.03,365.5,0.23,0.44,0.46,44.0,4.28
Zone B,2024,13319,27087,3.9,12.9,377.2,0.16,0.29,0.35,92.9,5.78
Zone K1,2017,23896,15704,4.2,5.79,302.9,0.22,0.21,0.36,76.5,6.22
Zone A,2016,29771,70576,4.2,14.51,476.2,0.26,0.38,0.68,92.2,6.15
Zone E,2018,19918,37208,3.6,15.86,273.3,0.09,0.32,0.65,57.8,3.48
Zone M,2016,28377,76024,3.5,9.55,221.2,0.05,0.49,0.66,60.9,5.28
Zone D,2012,21849,49882,5.2,24.28,123.4,0.24,0.36,0.7,88.4,3.22
Zone P1,2012,12873,35923,4.0,23.19,403.8,0.2,0.28,0.38,64.1,1.83
Zone P1,2024,12806,39165,4.5,19.44,380.5,0.22,0.41,0.44,76.0,5.36
Zone B,2017,16592,77203,4.1,15.67,223.0,0.26,0.28,0.57,46.4,1.55
Zone P2,2014,20182,14114,5.4,22.4,61.3,0.25,0.47,0.49,59.0,3.75
Zone L,2013,27541,74965,4.0,7.61,427.5,0.29,0.31,0.47,38.0,3.31
Zone C,2017,24774,46321,4.4,20.81,55.1,0.18,0.36,0.44,43.4,5.31
Zone A,2024,20045,35426,5.2,7.5,366.7,0.17,0.22,0.54,30.1,5.71
Zone A,2015,12430,27772,5.2,20.88,486.6,0.15,0.33,0.53,32.6,3.17
Zone K2,2011,16820,13712,3.9,10.52,246.9,0.09,0.45,0.36,93.5,5.96
Zone E,2013,12232,11367,5.1,22.54,155.7,0.19,0.44,0.49,45.8,3.12
Zone L,2021,19122,61924,4.4,23.88,367.2,0.12,0.27,0.52,73.1,3.95
Zone C,2020,23023,13726,4.5,7.98,417.7,0.28,0.27,0.53,84.5,5.5
Zone A,2013,16007,37723,3.8,14.25,295.9,0.2,0.45,0.38,65.8,5.31
Zone A,2024,25905,19108,3.7,24.62,485.2,0.2,0.48,0.6,40.0,6.93
Zone H,2015,17018,45643,5.0,14.67,73.3,0.14,0.23,0.31,77.3,2.74
Zone K1,2015,9500,41324,4.5,22.27,277.2,0.06,0.34,0.44,69.0,5.14
Zone K2,2010,14737,18927,4.4,16.77,373.3,0.06,0.3,0.61,77.5,4.85
Zone L,2023,11294,32443,5.0,12.51,438.2,0.16,0.46,0.53,80.0,6.53
Zone M,2017,29469,73449,5.0,10.72,130.7,0.07,0.23,0.4,93.4,2.36
Zone L,2015,26803,70233,3.8,9.06,410.0,0.2,0.26,0.58,67.3,5.63
Zone N,2012,27426,35537,4.7,20.24,298.7,0.27,0.43,0.53,52.2,4.63
Zone B,2023,12497,32612,3.8,12.73,228.4,0.27,0.22,0.62,72.2,3.01
Zone C,2018,25850,16471,5.0,15.23,109.3,0.21,0.35,0.59,34.4,4.11
Zone P2,2011,27945,45631,4.8,14.85,439.4,0.1,0.33,0.54,88.3,3.34
Zone H,2024,8614,41348,5.4,16.55,120.8,0.27,0.3,0.5,37.8,4.69
Zone K1,2020,29776,74732,3.6,22.31,189.4,0.27,0.32,0.35,51.3,6.39
Zone B,2017,17374,11177,3.6,24.61,180.5,0.1,0.36,0.4,83.0,4.63
Zone J,2019,27607,14760,4.1,13.15,442.1,0.23,0.25,0.47,68.8,4.97
Zone G,2012,10667,42779,4.0,21.55,352.7,0.12,0.37,0.54,55.6,4.35
Zone D,2022,21409,31636,4.0,20.29,408.5,0.25,0.44,0.51,60.8,1.78
Zone M,2021,24514,63551,5.3,16.47,162.7,0.3,0.43,0.42,85.5,2.78
Zone K2,2014,10983,21556,4.0,24.12,331.2,0.06,0.25,0.3,52.1,4.21
Zone D,2015,28662,37598,4.0,9.01,307.3,0.27,0.24,0.5,86.5,3.21
Zone D,2019,20651,21563,5.0,7.19,424.8,0.21,0.28,0.41,35.7,2.5
Zone K1,2015,16230,56819,4.4,22.08,457.7,0.29,0.31,0.59,80.5,4.27
Zone E,2013,14640,36966,5.1,13.78,55.5,0.17,0.32,0.31,85.1,3.28
Zone J,2012,19779,69889,3.6,21.94,353.3,0.26,0.4,0.53,41.8,2.92
Zone C,2013,29852,36987,4.5,22.86,73.3,0.07,0.22,0.68,58.0,4.05
Zone P2,2010,23317,68348,3.6,6.25,297.0,0.13,0.21,0.37,40.8,2.23
Zone C,2013,25304,34596,3.6,22.67,179.4,0.07,0.32,0.49,75.9,6.6
Zone P1,2010,15564,43174,5.3,13.97,188.0,0.29,0.41,0.34,64.8,6.27
Zone D,2021,23520,74106,3.8,15.21,208.8,0.25,0.26,0.55,71.3,5.39
Zone P2,2024,21737,79967,4.6,17.53,329.6,0.26,0.39,0.52,42.8,2.08
Zone G,2010,17323,69182,4.3,23.53,200.3,0.28,0.28,0.46,43.8,5.77
Zone E,2019,23229,49310,4.2,5.38,379.7,0.07,0.47,0.51,32.7,5.94
Zone L,2023,19713,66088,5.3,14.54,232.0,0.15,0.47,0.66,50.9,5.72
Zone P2,2025,16502,18906,3.5,18.75,80.8,0.07,0.29,0.38,66.4,2.13
Zone M,2015,27625,46914,4.8,19.45,402.7,0.1,0.27,0.31,85.8,5.04
Zone C,2014,8545,55379,5.4,18.85,178.6,0.11,0.32,0.64,73.4,6.09
Zone J,2023,12346,47650,4.6,7.69,244.7,0.17,0.27,0.53,58.3,4.68
Zone P2,2020,17996,56881,5.4,10.99,358.4,0.12,0.4,0.66,92.0,5.06
Zone P2,2024,23775,56413,3.6,12.17,199.6,0.08,0.45,0.54,76.8,4.02
Zone P1,2013,21919,16012,4.3,21.09,75.5,0.09,0.4,0.62,90.5,4.41
Zone M,2022,11810,60115,4.0,10.58,218.3,0.09,0.45,0.47,64.3,1.69
Zone P2,2020,15206,17151,5.0,9.21,475.0,0.29,0.32,0.6,46.8,5.01
Zone D,2012,17005,67716,5.5,24.15,338.8,0.24,0.25,0.67,33.4,1.95
Zone L,2010,24371,46378,4.0,5.18,352.2,0.29,0.42,0.53,77.2,3.89
Zone J,2015,20316,52652,4.8,24.96,334.5,0.16,0.31,0.37,37.9,3.11
Zone L,2011,26416,23467,3.9,18.54,139.5,0.12,0.4,0.41,49.7,4.5
Zone J,2017,16436,41010,4.6,21.57,238.3,0.25,0.28,0.38,64.6,2.23
Zone G,2019,20984,64691,4.4,10.89,387.9,0.13,0.22,0.4,66.7,5.3
Zone N,2014,8271,74157,5.4,5.29,95.6,0.12,0.5,0.42,69.0,5.87
Zone O,2016,27895,22289,4.7,19.76,175.0,0.11,0.25,0.52,40.8,2.4
Zone P1,2019,26155,54976,4.2,21.68,174.3,0.08,0.5,0.54,54.7,2.07
Zone E,2021,18616,53596,3.7,19.81,244.4,0.11,0.49,0.47,70.1,2.3
Zone C,2011,12361,33171,3.8,7.86,491.2,0.14,0.44,0.55,93.0,6.32
Zone L,2022,15069,54139,4.0,20.07,80.4,0.22,0.4,0.33,77.3,4.41
Zone D,2017,25304,58713,4.0,20.38,283.4,0.07,0.37,0.34,90.0,4.07
Zone P1,2011,11430,39734,5.2,18.17,130.7,0.1,0.46,0.37,79.5,2.09
Zone G,2013,28819,73646,4.6,20.32,486.8,0.25,0.29,0.51,68.5,5.07
Zone M,2010,20676,13654,4.5,21.92,101.0,0.09,0.34,0.39,42.5,6.27
Zone K1,2024,18816,28743,3.7,17.27,231.6,0.14,0.39,0.41,73.3,6.06
Zone G,2014,28144,58368,5.2,6.77,382.0,0.27,0.32,0.46,70.5,4.94
Zone N,2018,10050,16441,4.9,14.75,367.0,0.09,0.33,0.62,69.2,1.91
Zone E,2010,19692,34611,3.6,6.55,240.2,0.07,0.3,0.31,61.8,2.12
Zone C,2018,9165,22149,4.9,13.15,205.9,0.17,0.37,0.56,64.4,1.77
Zone K2,2020,10033,69189,4.6,13.14,228.9,0.13,0.46,0.57,51.7,2.92
Zone K2,2024,8145,31675,3.7,6.32,168.9,0.19,0.26,0.62,63.8,2.25
Zone O,2017,22269,52668,4.4,11.98,142.4,0.25,0.48,0.67,42.8,2.93
Zone L,2015,28772,23673,4.5,7.22,267.4,0.08,0.41,0.31,82.3,3.62
Zone J,2016,15832,75429,3.8,21.16,170.8,0.2,0.45,0.36,42.1,6.69
Zone K1,2012,22286,33669,5.4,23.95,179.4,0.18,0.37,0.65,35.5,4.86
Zone L,2023,10632,44068,5.2,6.45,345.5,0.09,0.43,0.48,58.4,6.09
Zone P2,2024,12494,19435,4.8,24.1,485.8,0.21,0.2,0.53,72.8,5.41
Zone F,2010,23152,62249,4.4,15.45,321.6,0.12,0.45,0.57,58.5,2.12
Zone G,2014,17155,47384,4.3,10.99,84.6,0.17,0.21,0.57,48.0,5.55
Zone N,2023,18426,41401,4.8,6.54,84.0,0.07,0.47,0.67,66.3,3.01
Zone M,2021,18233,44084,4.6,15.01,478.1,0.16,0.5,0.7,52.6,5.02
Zone H,2021,9828,65826,3.6,20.89,183.8,0.13,0.29,0.59,90.6,3.38
Zone K1,2011,20260,46451,4.5,19.14,91.4,0.26,0.26,0.41,90.0,6.99
Zone J,2023,17130,17227,5.1,6.0,319.6,0.06,0.43,0.65,62.7,2.95
Zone B,2014,12805,41910,4.4,6.46,330.6,0.15,0.28,0.32,51.3,3.04
Zone E,2017,8806,46041,3.6,13.06,341.8,0.16,0.46,0.39,77.9,6.62
Zone E,2020,16202,75681,5.1,10.91,170.3,0.23,0.23,0.66,32.4,1.64
Zone F,2018,9868,75481,3.9,9.65,56.8,0.19,0.24,0.4,60.9,5.33
Zone H,2011,22561,78576,4.0,10.62,484.3,0.22,0.49,0.39,51.9,5.49
Zone P1,2021,23512,74174,3.8,21.07,162.9,0.24,0.4,0.36,89.8,6.1
Zone M,2012,22899,36160,4.2,23.58,354.2,0.27,0.45,0.64,30.8,6.86
Zone A,2012,24220,27633,5.0,13.1,368.0,0.13,0.3,0.5,65.9,6.87
Zone P2,2010,23934,27014,4.5,23.12,324.5,0.18,0.4,0.57,78.1,1.86
Zone G,2017,13429,59104,3.9,11.43,190.8,0.26,0.38,0.4,61.5,6.02
Zone M,2025,17076,51621,5.3,14.53,172.0,0.3,0.38,0.6,35.6,5.05
Zone D,2015,11564,78388,5.3,9.52,319.0,0.27,0.4,0.6,93.2,5.06
Zone D,2021,9389,26014,5.2,17.81,439.7,0.14,0.37,0.43,63.7,2.21
Zone F,2025,19593,43755,4.0,24.58,476.0,0.1,0.33,0.46,69.9,5.08
Zone L,2022,15274,50390,4.4,17.07,97.7,0.17,0.28,0.38,45.4,6.9
Zone G,2017,25208,33711,5.5,12.16,119.7,0.24,0.43,0.69,61.4,6.52
Zone K1,2020,26649,67993,5.0,17.96,475.1,0.17,0.27,0.56,57.9,3.92
Zone G,2018,25320,37213,3.6,7.46,381.4,0.17,0.41,0.67,34.9,1.72
Zone C,2014,18745,67784,3.6,22.77,447.3,0.26,0.27,0.42,36.9,3.49
Zone M,2023,22199,17421,4.4,15.06,141.2,0.14,0.39,0.61,84.4,6.05
Zone M,2021,28229,27727,5.3,13.99,314.4,0.26,0.42,0.61,45.6,5.36
Zone H,2023,23876,14358,4.6,16.72,365.5,0.15,0.27,0.58,42.7,4.03
Zone J,2012,26180,75108,4.5,17.5,356.1,0.13,0.22,0.69,62.8,1.8
Zone G,2014,16245,42117,3.7,6.44,233.7,0.16,0.24,0.46,80.0,3.85
Zone A,2014,15214,41910,4.8,18.65,56.9,0.24,0.38,0.35,34.0,4.08
Zone C,2014,8726,65754,5.1,9.84,312.3,0.08,0.45,0.57,67.5,6.61
Zone M,2012,27120,72438,4.3,19.28,163.9,0.1,0.21,0.59,37.7,5.03
Zone P2,2020,21832,39371,5.1,21.45,252.6,0.29,0.42,0.53,32.4,3.21
Zone A,2023,19362,61501,5.4,21.08,480.9,0.09,0.3,0.38,33.4,4.39
Zone F,2019,26297,70946,3.9,16.05,229.6,0.19,0.34,0.5,84.2,1.86
Zone F,2023,18106,48467,4.5,15.4,427.9,0.19,0.48,0.42,37.7,6.85
Zone L,2013,15657,27625,4.1,7.86,134.8,0.17,0.3,0.47,32.9,3.48
Zone M,2018,26850,43893,5.1,20.51,352.6,0.21,0.34,0.56,58.5,4.13
Zone M,2022,22551,41007,4.7,10.43,489.7,0.11,0.2,0.6,84.9,3.45
Zone O,2019,15906,49532,4.8,14.93,95.9,0.19,0.22,0.39,47.1,5.25
Zone P1,2018,29260,64253,5.1,10.69,53.7,0.14,0.28,0.46,57.4,5.14
Zone K2,2011,15287,22323,4.3,7.68,245.1,0.22,0.21,0.41,32.6,5.43
Zone E,2017,8892,24210,5.3,17.59,91.7,0.09,0.39,0.38,59.2,2.97
Zone D,2017,18222,26456,4.6,6.09,386.8,0.19,0.33,0.61,67.5,3.24
Zone C,2016,12675,41367,3.8,19.97,461.5,0.1,0.36,0.66,67.1,2.19
Zone O,2017,9933,64624,4.9,11.35,245.3,0.12,0.25,0.45,51.6,5.11
Zone J,2023,25764,20106,5.1,5.0,166.4,0.1,0.29,0.6,50.5,1.72
Zone P2,2025,19873,78008,4.1,15.22,245.5,0.1,0.4,0.66,36.9,4.79
Zone N,2012,25674,74315,5.2,5.94,375.6,0.26,0.49,0.64,53.8,6.28
Zone O,2022,26024,79249,5.3,10.52,54.1,0.12,0.22,0.37,36.5,6.4
Zone A,2015,21239,20756,4.1,19.14,315.3,0.28,0.47,0.68,79.8,3.97
Zone C,2010,18874,78011,5.5,6.25,326.0,0.29,0.37,0.45,92.8,4.03
Zone P1,2016,25602,46378,3.8,21.79,337.0,0.19,0.37,0.44,93.1,1.92
Zone K2,2024,13016,14255,3.9,5.08,158.9,0.09,0.35,0.32,86.2,5.19
Zone L,2024,21774,24484,3.9,9.94,371.3,0.14,0.22,0.49,69.1,6.02
Zone K1,2010,17752,66549,5.3,19.82,91.1,0.25,0.23,0.34,75.6,2.85
Zone P1,2018,25338,44503,4.8,11.33,139.7,0.14,0.38,0.4,48.5,3.82
Zone H,2010,23585,55113,3.8,7.04,444.9,0.07,0.3,0.43,71.0,6.11
Zone F,2010,15291,15249,4.4,12.2,382.4,0.19,0.48,0.62,59.6,6.32
Zone L,2024,8974,29201,4.7,10.41,56.2,0.26,0.32,0.65,61.3,2.84
Zone H,2016,12133,68576,3.7,21.85,161.8,0.25,0.24,0.42,79.3,4.53
Zone D,2011,22663,19686,5.3,11.27,146.5,0.09,0.41,0.64,48.3,2.56
Zone H,2023,29754,63363,5.1,20.78,171.9,0.22,0.29,0.64,50.7,2.06
Zone E,2014,11972,10661,4.5,22.84,161.4,0.11,0.36,0.61,90.1,6.51
